Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8
авитаминоз;1.2.1.1.4.2.2.3.3.2.1.1.;;;;;;
авосечка;1.1.3.2.7.3.2.2.1.2.;;;;;;
авоська;1.1.3.2.7.3.2.2.1.2.;;;;;;
аврал;1.2.1.6.4.2.1.;1.2.1.6.4.3.2.3.;;;;;
австралиец;1.1.1.2.1.1.1.2.1.2.4.1.;;;;;;
австралийка;1.1.1.2.1.1.1.2.1.2.4.1.;1.1.1.2.1.1.2.2.1.2.;;;;;
австралийцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
австралоид;1.1.1.2.1.1.1.2.1.1.;;;;;;
австрийка;1.1.1.2.1.1.2.2.1.2.;;;;;;
австрийцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
австрияки;1.1.1.2.1.1.2.2.1.2.;;;;;;
австриячка;1.1.1.2.1.1.2.2.1.2.;;;;;;
автаркия;1.2.1.6.2.3.2.1.;;;;;;
авто;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автобаза;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
автобан;1.1.3.1.4.2.2.1.;;;;;;
автобиография;1.1.3.2.10.3.3.5.1.;1.2.1.5.2.2.4.2.3.2.1.2.2.;;;;;
автоблокировка;1.1.3.2.5.3.1.2.;;;;;;
автобус;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автобусик;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автобусник;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.;;;;;;
автобусница;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.;;;;;;
автовокзал;1.1.3.1.4.3.2.;1.1.3.3.1.2.3.2.4.1.2.;;;;;
автогонки;1.2.1.6.4.4.1.2.5.4.;;;;;;
автогонщик;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автогонщица;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автоград;1.1.3.1.2.4.1.1.1.;;;;;;
автограф;1.1.3.2.9.1.2.1.;1.2.1.5.2.2.2.2.;;;;;
автодром;1.1.3.2.2.7.2.;;;;;;
автозавод;1.1.3.3.1.2.3.2.1.1.;;;;;;
автозаправка;1.1.3.2.2.5.1.;1.1.3.3.1.2.4.6.2.;;;;;
автокар;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автокефалия;1.1.3.3.1.3.2.1.;;;;;;
автоклав;1.1.3.2.3.5.2.;;;;;;
автоколонна;1.1.3.2.5.2.1.2.1.1.;;;;;;
автоконтора;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
автокормушка;1.1.3.2.3.6.10.;;;;;;
автократ;1.1.1.2.1.1.1.2.4.2.5.1.2.;;;;;;
автократия;1.2.1.6.2.2.3.;;;;;;
автол;1.1.3.2.6.5.9.;;;;;;
автолавка;1.1.3.3.1.2.4.2.1.;;;;;;
автолюбитель;1.1.1.2.1.1.1.2.4.2.8.2.2.1.2.;;;;;;
автолюбительница;1.1.1.2.1.1.1.2.4.2.8.2.2.1.2.;;;;;;
автомагазин;1.1.3.3.1.2.4.2.1.;1.1.3.3.1.2.4.2.3.;;;;;
автомагистраль;1.1.3.1.4.2.2.1.;;;;;;
автомат;1.1.3.2.3.1.1.;1.1.3.2.4.1.2.1.;;;;;
автоматизировать;2.3.5.2.4.4.3.;;;;;;
автоматизм;1.2.1.1.4.1.1.;;;;;;
автоматика;1.1.3.2.3.1.2.;1.2.1.5.2.1.2.1.3.3.;;;;;
автоматчик;1.1.1.2.1.1.1.2.4.2.6.5.;1.1.1.2.1.1.1.2.4.2.7.1.2.1.3.1.;;;;;
автоматчица;1.1.1.2.1.1.1.2.4.2.6.5.;1.1.1.2.1.1.1.2.4.2.7.1.2.1.3.1.;;;;;
автомашина;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автомеханик;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;;;;;;
автомобилестроение;1.2.1.5.2.1.2.1.3.3.;;;;;;
автомобилестроитель;1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.;;;;;;
автомобилизировать;2.3.5.2.4.4.3.;;;;;;
автомобилизм;1.2.1.6.4.4.1.2.4.7.2.;;;;;;
автомобилист;1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;
автомобилистка;1.1.1.2.1.1.1.2.4.2.7.1.2.1.1.;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;
автомобиль;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автомобильчик;1.1.3.2.5.2.1.2.1.2.1.;;;;;;
автомоделизм;1.2.1.6.4.4.1.2.4.7.2.;;;;;;
автомоделист;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автомоделистка;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автомодель;1.1.3.2.11.1.2.2.;;;;;;
автомототурист;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автомотриса;1.1.3.2.5.2.1.1.;;;;;;
автономия;1.2.1.6.2.2.3.;;;;;;
автономность;1.2.1.2.1.1.7.1.;;;;;;
автообъединение;1.1.3.3.1.2.3.2.1.1.;;;;;;
автоответчик;1.1.3.2.3.3.2.;;;;;;
автопарк;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
автопередвижка;1.1.3.3.1.2.4.6.2.;;;;;;
автопилот;1.1.3.2.5.3.1.3.;;;;;;
автопогрузчик;1.1.3.2.3.2.2.1.3.;;;;;;
автопоезд;1.1.3.2.5.2.1.2.1.1.;;;;;;
автопоилка;1.1.3.2.3.6.10.;;;;;;
автопортрет;1.2.1.5.2.1.3.2.3.1.1.;;;;;;
автопредприятие;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
автор;1.1.1.2.1.1.1.2.4.2.2.1.;;;;;;
авторалли;1.2.1.6.4.4.1.2.5.4.;;;;;;
авторемонтник;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;;;;;;
авторемонтница;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;;;;;;
автореферат;1.2.1.5.2.2.2.1.;;;;;;
авторизовать;2.3.5.2.4.1.1.;;;;;;
авторитаризм;1.2.1.6.2.2.3.;;;;;;
авторитет;1.1.1.2.1.1.1.2.3.3.2.2.1.;1.2.1.2.1.3.5.;;;;;
автородео;1.2.1.6.4.4.1.2.5.3.;;;;;;
авторучка;1.1.3.2.7.3.5.3.1.;;;;;;
авторша;1.1.1.2.1.1.1.2.4.2.2.1.;;;;;;
автосалон;1.1.3.3.1.2.6.2.;;;;;;
автосервис;1.1.3.3.1.2.4.6.2.;;;;;;
автослесарь;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.2.;;;;;;
автоспорт;1.2.1.6.4.4.1.2.4.7.2.;;;;;;
автостанция;1.1.3.1.4.3.2.;1.1.3.3.1.2.3.2.4.1.2.;;;;;
автостоп;1.1.3.2.5.3.1.2.;1.2.1.6.4.4.2.3.;;;;;
автостопист;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автостопистка;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автострада;1.1.3.1.4.2.2.1.;;;;;;
автостроение;1.2.1.5.2.1.2.1.3.3.;;;;;;
автосцепка;1.1.3.2.5.3.1.2.;;;;;;
автотранспорт;1.1.3.2.5.2.1.2.1.1.;;;;;;
автотранспортник;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.;;;;;;
автотранспортница;1.1.1.2.1.1.1.2.4.2.7.2.1.1.4.1.;;;;;;
автотурист;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автотуристка;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;;
автохозяйство;1.1.3.3.1.2.3.2.4.1.3.;;;;;;
автохтон;1.1.1.1.1.2.;1.1.1.2.1.1.1.2.1.2.2.;;;;;
автохтонка;1.1.1.2.1.1.1.2.1.2.2.;;;;;;
автоцентр;1.1.3.3.1.2.4.6.2.;;;;;;
автоцистерна;1.1.3.2.5.2.1.2.1.2.2.;;;;;;
автошкола;1.1.3.3.1.2.5.1.4.2.;;;;;;
авуары;1.1.3.2.10.2.1.1.1.;;;;;;
ага;1.1.1.2.1.1.1.2.4.2.5.2.1.;;;;;;
агава;1.1.1.3.1.2.2.3.2.;;;;;;
агар-агар;1.1.3.2.6.5.9.;;;;;;
агат;1.1.2.2.4.1.4.2.;;;;;;
агент;1.1.1.2.1.1.1.2.3.3.4.4.;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.4.;1.1.1.2.1.1.1.2.4.2.5.2.2.3.2.3.;1.2.2.1.3.;;;
агентка;1.1.1.2.1.1.1.2.3.3.4.4.;;;;;;
агентство;1.1.3.3.1.1.;1.1.3.3.1.2.1.;;;;;
агентура;1.1.1.2.1.1.2.3.5.;1.1.1.2.1.1.2.4.2.1.;1.1.3.3.1.2.2.2.2.;;;;
агиография;1.2.1.5.2.2.4.2.3.2.2.1.;;;;;;
агитатор;1.1.1.2.1.1.1.2.4.2.3.1.;;;;;;
агитаторша;1.1.1.2.1.1.1.2.4.2.3.1.;;;;;;
агитация;1.2.1.4.2.2.1.2.10.;1.2.1.6.2.3.2.2.;;;;;
агитировать;2.3.3.3.2.1.2.2.;2.3.4.5.1.1.;;;;;
агитка;1.2.1.5.2.1.3.1.4.2.;;;;;;
агитпоезд;1.1.3.3.1.2.6.2.;;;;;;
агитпункт;1.1.3.3.1.2.6.2.;;;;;;
агиттеатр;1.1.3.3.1.2.6.2.;;;;;;
агнец;1.1.1.2.2.1.2.4.3.;;;;;;
агностик;1.1.1.2.1.1.1.2.2.1.2.2.2.;;;;;;
агностицизм;1.2.1.5.2.1.2.1.2.5.1.2.;;;;;;
агония;1.2.1.1.2.2.3.2.;1.2.1.1.4.2.2.3.3.1.;;;;;
аграрий;1.1.1.2.1.1.1.2.3.3.1.1.;1.1.1.2.1.1.1.2.3.3.2.3.1.2.;1.1.1.2.1.1.1.2.4.2.7.1.4.1.;;;;
аграф;1.1.3.2.7.2.5.1.2.;;;;;;
агрегат;1.1.2.2.4.1.1.;1.1.3.2.3.2.1.;1.1.3.2.3.2.3.1.1.;1.2.1.2.3.1.2.4.;;;
агрессивность;1.2.1.3.2.2.1.9.;;;;;;
агрессия;1.2.1.3.2.2.1.8.;1.2.1.6.3.3.1.2.1.;;;;;
агрессор;1.1.1.2.1.1.1.2.3.3.4.11.2.;;;;;;
агрикультура;1.2.1.5.2.1.2.1.3.2.4.2.;1.2.1.6.4.3.3.2.4.3.1.;;;;;
агробанк;1.1.3.3.1.2.2.3.;;;;;;
агробиолог;1.1.1.2.1.1.1.2.4.2.4.3.3.2.;;;;;;
агробиология;1.2.1.5.2.1.2.1.4.1.;;;;;;
агрокомплекс;1.1.3.3.1.2.3.3.1.;;;;;;
агрокультура;1.2.1.5.2.1.2.1.3.2.4.2.;1.2.1.6.4.3.3.2.4.3.1.;;;;;
агрометеоролог;1.1.1.2.1.1.1.2.4.2.4.3.3.2.;;;;;;
агрометеорология;1.2.1.5.2.1.2.1.4.1.;;;;;;
агрометеостанция;1.1.3.3.1.2.5.2.2.;;;;;;
агроном;1.1.1.2.1.1.1.2.4.2.4.3.3.2.;;;;;;
агрономия;1.2.1.5.2.1.2.1.3.2.4.2.;;;;;;
агрономша;1.1.1.2.1.1.1.2.4.2.4.3.3.2.;;;;;;
агропром;1.1.3.3.1.2.3.3.1.;;;;;;
агрослужба;1.1.3.3.1.2.3.3.2.1.;;;;;;
агростанция;1.1.3.3.1.2.3.3.2.1.;;;;;;
агрофабрика;1.1.3.3.1.2.3.3.2.2.;;;;;;
агрофизик;1.1.1.2.1.1.1.2.4.2.4.3.3.2.;;;;;;
агрофизика;1.2.1.5.2.1.2.1.4.1.;;;;;;
агрохимия;1.2.1.5.2.1.2.1.4.1.;;;;;;
агрохимлаборатория;1.1.3.3.1.2.5.2.2.;;;;;;
агрохимобъединение;1.1.3.3.1.2.3.3.2.1.;;;;;;
агрохимцентр;1.1.3.3.1.2.3.3.2.1.;;;;;;
агукать;2.3.3.3.1.2.1.2.1.5.3.;;;;;;
ад;1.2.1.1.2.4.4.;1.2.1.5.1.2.2.2.1.;;;;;
адажио;1.2.1.5.2.1.3.3.3.;1.2.1.5.2.1.3.3.4.1.2.;1.2.1.5.2.1.3.3.4.2.1.;;;;
адаптация;1.2.1.1.4.2.2.1.2.;;;;;;
адаптировать;2.3.5.2.4.1.2.;;;;;;
адвентизм;1.2.1.5.1.2.1.2.3.;;;;;;
адвентист;1.1.1.2.1.1.1.2.2.1.2.1.2.;1.2.1.5.1.2.1.2.3.;;;;;
адвентистка;1.1.1.2.1.1.1.2.2.1.2.1.2.;;;;;;
адвокат;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.5.;;;;;;
адвокатесса;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.5.;;;;;;
адвокатствовать;2.3.5.2.4.7.2.1.1.3.;;;;;;
адвокатура;1.1.1.2.1.1.2.3.5.;;;;;;
адвокатша;1.1.1.2.1.1.1.2.4.2.5.2.2.2.2.5.;;;;;;
адекватность;1.2.1.2.1.1.3.2.;;;;;;
аденоиды;1.1.1.2.4.4.2.1.1.1.;;;;;;
адепт;1.1.1.2.1.1.1.2.2.1.2.2.1.;;;;;;
аджарка;1.1.1.2.1.1.2.2.1.2.;;;;;;
аджарцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
аджика;1.1.3.2.7.1.1.2.2.9.4.;;;;;;
администратор;1.1.1.2.1.1.1.2.4.2.5.2.2.2.1.;;;;;;
администраторша;1.1.1.2.1.1.1.2.4.2.5.2.2.2.1.;;;;;;
администрация;1.1.1.2.1.1.2.3.5.;1.1.3.3.1.2.2.1.2.;;;;;
администрировать;2.3.5.2.4.4.1.;2.3.5.2.4.4.2.2.;;;;;
адмирал;1.1.1.2.1.1.1.2.4.2.6.2.2.;;;;;;
адмиралтейств-коллегия;1.1.3.3.2.5.;;;;;;
адмиралтейств-совет;1.1.3.3.2.5.;;;;;;
адмиралтейство;1.1.3.3.1.2.3.2.2.;1.1.3.3.2.5.;;;;;
адрес;1.1.3.2.10.1.2.2.;1.2.1.1.4.1.1.;1.2.1.4.2.3.3.2.;1.2.1.5.2.2.2.2.;;;
адресант;1.1.1.2.1.1.1.2.4.2.7.2.3.;;;;;;
адресат;1.1.1.2.1.1.1.2.3.3.4.12.1.1.;1.1.1.2.1.1.1.2.4.2.7.2.3.;;;;;
адресатка;1.1.1.2.1.1.1.2.3.3.4.12.1.1.;1.1.1.2.1.1.1.2.4.2.7.2.3.;;;;;
адресовать;2.3.6.1.3.2.;;;;;;
адресоваться;2.3.3.3.1.1.4.1.;;;;;;
адъюнкт;1.1.1.2.1.1.1.2.4.2.4.2.;1.1.1.2.1.1.1.2.4.2.4.4.3.2.;;;;;
адъюнктура;1.2.1.6.4.3.2.1.2.;;;;;;
адъютант;1.1.1.2.1.1.1.2.4.2.6.3.2.1.;;;;;;
адыгейка;1.1.1.2.1.1.2.2.1.2.;;;;;;
адыгейцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
адыги;1.1.1.2.1.1.2.2.1.2.;;;;;;
адюльтер;1.2.1.3.2.4.2.7.3.;;;;;;
ажиотаж;1.2.1.1.2.4.5.;1.2.1.6.4.3.3.2.3.1.;;;;;
ажитация;1.2.1.3.2.2.2.1.;;;;;;
ажур;1.2.1.5.2.1.3.2.3.1.2.;;;;;;
аз;1.2.1.2.2.3.;1.2.1.5.2.1.2.1.2.3.1.3.5.;;;;;
азалия;1.1.1.3.1.2.1.2.1.4.1.;;;;;;
азарт;1.2.1.3.2.2.2.1.;;;;;;
азартничать;2.3.3.1.2.3.2.2.1.;;;;;;
азартность;1.2.1.3.2.2.2.1.;;;;;;
азбука;1.1.3.2.9.1.1.2.1.;1.2.1.2.2.3.;1.2.1.5.2.1.2.1.2.3.1.3.5.;;;;
азбуковник;1.1.3.2.9.1.1.2.2.;;;;;;
азербайджанка;1.1.1.2.1.1.2.2.1.2.;;;;;;
азербайджанцы;1.1.1.2.1.1.2.2.1.2.;;;;;;
азиат;1.1.1.2.1.1.1.2.1.2.4.1.;;;;;;
азиатка;1.1.1.2.1.1.1.2.1.2.4.1.;;;;;;
азот;1.1.2.1.3.2.3.1.;;;;;;
азу;1.1.3.2.7.1.1.2.2.5.3.2.;;;;;;
азям;1.1.3.2.7.2.2.1.1.3.1.1.1.;;;;;;
аир;1.1.1.3.1.2.2.3.2.;;;;;;
аист;1.1.1.2.2.1.3.3.;;;;;;
аистенок;1.1.1.2.2.1.3.4.;;;;;;
аистиха;1.1.1.2.2.1.3.4.;;;;;;
айболит;1.1.1.2.1.1.1.2.4.2.4.5.1.3.;;;;;;
айва;1.1.1.3.1.2.1.2.1.2.1.2.1.;;;;;;
айва;1.1.3.2.7.1.1.2.2.10.3.1.2.;;;;;;
айкать;2.3.3.3.1.2.1.2.1.5.1.;;;;;;
айкидо;1.2.1.6.4.4.1.2.4.2.2.;;;;;;
аймак;1.1.3.1.2.3.;;;;;;
айсберг;1.1.2.2.3.4.2.;;;;;;
академизм;1.2.1.5.2.1.3.1.2.;;;;;;
академик;1.1.1.2.1.1.1.2.4.2.4.2.;;;;;;
академия;1.1.3.3.1.2.5.1.2.2.;1.1.3.3.1.2.5.1.3.1.;1.1.3.3.1.2.5.2.1.;;;;
аканье;1.2.1.5.2.1.2.1.2.3.1.3.2.;;;;;;
акать;2.3.3.3.1.2.1.2.2.4.;;;;;;
акафист;1.2.1.5.2.1.3.3.4.1.3.;;;;;;
акация;1.1.1.3.1.2.1.2.1.4.1.;;;;;;
акваланг;1.1.3.2.3.2.2.3.1.;;;;;;
аквалангист;1.1.1.2.1.1.1.2.4.2.4.3.5.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;
аквалангистка;1.1.1.2.1.1.1.2.4.2.4.3.5.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;
аквамарин;1.1.2.2.4.1.4.2.;;;;;;
акванавт;1.1.1.2.1.1.1.2.4.2.4.3.5.;;;;;;
акванавтка;1.1.1.2.1.1.1.2.4.2.4.3.5.;;;;;;
аквапарк;1.1.3.2.2.7.2.;;;;;;
акварелист;1.1.1.2.1.1.1.2.4.2.2.2.1.;;;;;;
акварелистка;1.1.1.2.1.1.1.2.4.2.2.2.1.;;;;;;
акварель;1.1.3.2.6.5.4.2.;1.2.1.5.2.1.3.2.1.2.2.;1.2.1.5.2.1.3.2.3.2.2.;;;;
аквариум;1.1.3.2.2.1.1.3.;1.1.3.2.2.6.2.4.;1.1.3.2.3.6.10.;;;;
акватория;1.1.2.2.3.3.2.1.;;;;;;
акведук;1.1.3.2.2.5.2.;;;;;;
аккомодация;1.2.1.1.4.2.2.1.2.;;;;;;
аккомпанемент;1.2.1.5.2.1.3.3.3.;;;;;;
аккомпаниатор;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
аккомпаниаторша;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
аккомпанировать;2.3.5.2.4.1.4.1.;;;;;;
аккорд;1.2.1.5.2.1.3.3.3.;;;;;;
аккордеон;1.1.3.2.11.2.2.2.;;;;;;
аккордеонист;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
аккордеонистка;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;;;;;;
аккредитив;1.1.3.2.10.2.1.2.;1.1.3.2.10.2.3.;;;;;
аккредитовать;2.3.5.2.4.4.2.3.;;;;;;
аккумулятор;1.1.3.2.3.2.3.2.;;;;;;
аккуратист;1.1.1.2.1.1.1.2.2.2.3.1.3.;;;;;;
аккуратистка;1.1.1.2.1.1.1.2.2.2.3.1.3.;;;;;;
аккуратность;1.2.1.3.2.3.4.;;;;;;
акмеизм;1.2.1.5.2.1.3.1.2.;;;;;;
акмеист;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
акмеистка;1.1.1.2.1.1.1.2.2.1.2.2.3.;;;;;;
акр;1.2.1.1.3.2.2.2.;;;;;;
акробат;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;
акробатика;1.2.1.5.2.1.3.5.1.;1.2.1.6.4.4.1.2.4.1.;;;;;
акробатка;1.1.1.2.1.1.1.2.4.2.2.4.2.1.;1.1.1.2.1.1.1.2.4.2.8.1.2.1.1.;;;;;
акрополь;1.1.3.1.2.4.1.1.2.;;;;;;
акростих;1.2.1.5.2.2.4.2.3.2.1.2.1.2.;;;;;;
акселерат;1.1.1.2.1.1.1.2.5.2.;;;;;;
акселератка;1.1.1.2.1.1.1.2.5.2.;;;;;;
